global_step,episode,step,timestamp,elapsed_time,worker_id,environment,device,obs_space_shape,action_space_type,action_space_size,system_cpu_percent,system_memory_percent,system_memory_available_gb,system_disk_free_gb,gpu_memory_gb,gpu_memory_max_gb,step_reward,step_action,step_log_prob,step_obs_mean,step_obs_std,step_obs_max,step_obs_min,action_selection_time,env_step_time,cumulative_reward
0,0,0,1752712457.9010153,3.7636382579803467,5,CartPole-v1,cuda:0,"(4,)",<class 'gym.spaces.discrete.Discrete'>,2.0,83.5,78.9,13.199665069580078,225.82772064208984,0.0005035400390625,0.0005035400390625,,,,,,,,,,
1,0,1,1752712458.3345568,4.197179555892944,5,,,,,,98.4,80.3,12.331249237060547,225.82746124267578,0.008440017700195312,0.009417057037353516,1.0,0.0,-0.7336927652359009,-0.23765936493873596,0.2897767126560211,0.06507343053817749,-0.5002985000610352,0.40666699409484863,0.003236055374145508,1.0
2,0,2,1752712458.3455145,4.208137035369873,5,,,,,,91.3,80.3,12.316436767578125,225.82744598388672,0.008441448211669922,0.009418487548828125,1.0,0.0,-0.6745861768722534,-0.24378013610839844,0.3579064607620239,0.2723599672317505,-0.5047308206558228,0.0027823448181152344,0.0028684139251708984,2.0
3,0,3,1752712458.3579872,4.220609664916992,5,,,,,,92.0,80.3,12.297218322753906,225.8274383544922,0.008442878723144531,0.009419918060302734,1.0,0.0,-0.6234304308891296,-0.2474549114704132,0.5624269247055054,0.5895604491233826,-0.6221582293510437,0.003096342086791992,0.0032646656036376953,3.0
4,0,4,1752712458.3711462,4.233768701553345,5,,,,,,92.3,80.4,12.266475677490234,225.82743072509766,0.00844430923461914,0.009421348571777344,1.0,0.0,-0.5795269012451172,-0.24820362031459808,0.8118157982826233,0.908705472946167,-0.9659271240234375,0.0038945674896240234,0.0031616687774658203,4.0
5,0,5,1752712458.383913,4.246535778045654,5,,,,,,91.7,80.4,12.235721588134766,225.8274269104004,0.00844573974609375,0.009422779083251953,1.0,1.0,-0.8723194599151611,-0.24546825885772705,1.0854746103286743,1.2318651676177979,-1.310002326965332,0.0036563873291015625,0.0033822059631347656,5.0
6,0,6,1752712458.3952205,4.257843017578125,5,,,,,,91.7,80.4,12.220584869384766,225.8274269104004,0.00844717025756836,0.009424209594726562,1.0,0.0,-0.5903192758560181,-0.23404136300086975,0.8716298937797546,0.889483630657196,-0.9646428823471069,0.002305746078491211,0.0037839412689208984,6.0
7,0,7,1752712458.408265,4.270888328552246,5,,,,,,92.3,80.5,12.197525024414062,225.82742309570312,0.008448600769042969,0.009425640106201172,1.0,0.0,-0.5475243330001831,-0.22883883118629456,1.162631630897522,1.2265726327896118,-1.3096671104431152,0.0031757354736328125,0.003502368927001953,7.0
8,0,8,1752712458.423504,4.286126613616943,5,,,,,,93.1,80.4,12.221885681152344,225.82741165161133,0.008450031280517578,0.009427070617675781,1.0,0.0,-0.511069655418396,-0.21903708577156067,1.4772212505340576,1.569290041923523,-1.655048131942749,0.004194021224975586,0.0036797523498535156,8.0
9,0,9,1752712458.4385366,4.301159143447876,5,,,,,,83.9,80.2,12.366374969482422,225.8274040222168,0.008451461791992188,0.00942850112915039,1.0,1.0,-0.9627553224563599,-0.20395344495773315,1.815965175628662,1.9195164442062378,-2.0008492469787598,0.003304004669189453,0.0042018890380859375,9.0
10,0,10,1752712458.45737,4.319992303848267,5,,,,,,84.2,80.1,12.466178894042969,225.8274040222168,0.008452892303466797,0.009429931640625,1.0,1.0,-0.9086287021636963,-0.17790985107421875,1.7237974405288696,1.6090925931930542,-1.657425045967102,0.00415349006652832,0.004769086837768555,10.0
11,0,11,1752712458.4743268,4.336949348449707,5,,,,,,75.8,80.0,12.52743148803711,225.82740020751953,0.008454322814941406,0.00943136215209961,1.0,0.0,-0.5519786477088928,-0.15098994970321655,1.6779377460479736,1.311930537223816,-1.8667852878570557,0.0054323673248291016,0.00434565544128418,11.0
12,0,12,1752712458.4913447,4.353967189788818,5,,,,,,72.7,80.0,12.52780532836914,225.82740020751953,0.008455753326416016,0.009432792663574219,1.0,0.0,-0.5164245367050171,-0.12906503677368164,1.9949276447296143,1.691375970840454,-2.0379109382629395,0.005207538604736328,0.004330873489379883,12.0
13,0,13,1752712458.5075507,4.370173454284668,5,,,,,,75.0,80.0,12.528404235839844,225.82738876342773,0.008457183837890625,0.009434223175048828,1.0,1.0,-0.9503234624862671,-0.10047626495361328,2.3508107662200928,2.0775623321533203,-2.2536861896514893,0.005366802215576172,0.004046916961669922,13.0
