global_step,episode,step,timestamp,elapsed_time,worker_id,environment,device,obs_space_shape,action_space_type,action_space_size,system_cpu_percent,system_memory_percent,system_memory_available_gb,system_disk_free_gb,gpu_memory_gb,gpu_memory_max_gb,step_reward,step_action,step_log_prob,step_obs_mean,step_obs_std,step_obs_max,step_obs_min,action_selection_time,env_step_time,cumulative_reward
0,0,0,1752712457.0102794,3.293670892715454,9,CartPole-v1,cuda:0,"(4,)",<class 'gym.spaces.discrete.Discrete'>,2.0,80.1,76.1,14.913089752197266,225.8282127380371,0.0005035400390625,0.0005035400390625,,,,,,,,,,
1,0,1,1752712457.5824432,3.8658347129821777,9,,,,,,100.0,78.2,13.648689270019531,225.82782363891602,0.008440017700195312,0.009417057037353516,1.0,0.0,-0.9071837663650513,-0.2155647575855255,0.22342005372047424,0.0501684807240963,-0.400667279958725,0.5457329750061035,0.0021979808807373047,1.0
2,0,2,1752712457.590973,3.8743643760681152,9,,,,,,100.0,78.2,13.648689270019531,225.82781982421875,0.008441448211669922,0.009418487548828125,1.0,1.0,-0.5708547830581665,-0.22617033123970032,0.3063082993030548,0.2300676554441452,-0.4063013195991516,0.0025234222412109375,0.0018432140350341797,2.0
3,0,3,1752712457.601213,3.8846042156219482,9,,,,,,100.0,78.2,13.648208618164062,225.82781219482422,0.008442878723144531,0.009419918060302734,1.0,1.0,-0.5172957181930542,-0.22338423132896423,0.22718079388141632,0.051880206912755966,-0.4562026560306549,0.004155397415161133,0.0018410682678222656,3.0
4,0,4,1752712457.6106465,3.894037961959839,9,,,,,,100.0,78.2,13.640518188476562,225.82781219482422,0.00844430923461914,0.009421348571777344,1.0,1.0,-0.4776690900325775,-0.2221546322107315,0.43889516592025757,0.4307298958301544,-0.4985044300556183,0.0026848316192626953,0.0031249523162841797,4.0
5,0,5,1752712457.6196458,3.9030375480651855,9,,,,,,100.0,78.2,13.640037536621094,225.82781219482422,0.00844573974609375,0.009422779083251953,1.0,0.0,-1.011540412902832,-0.22292552888393402,0.7193886041641235,0.8095982074737549,-0.8621917366981506,0.0021228790283203125,0.0026061534881591797,5.0
6,0,6,1752712457.6288066,3.9121978282928467,9,,,,,,100.0,78.1,13.662769317626953,225.8278045654297,0.00844717025756836,0.009424209594726562,1.0,1.0,-0.4755246639251709,-0.23862481117248535,0.4626615643501282,0.43240201473236084,-0.5676245093345642,0.00223541259765625,0.0027704238891601562,6.0
7,0,7,1752712457.6377497,3.9211411476135254,9,,,,,,100.0,78.1,13.690620422363281,225.82780075073242,0.008448600769042969,0.009425640106201172,1.0,1.0,-0.45135799050331116,-0.24201756715774536,0.7515630125999451,0.8117761611938477,-0.8927676677703857,0.0032110214233398438,0.0019435882568359375,7.0
8,0,8,1752712457.6479895,3.9313809871673584,9,,,,,,100.0,78.1,13.690620422363281,225.82780075073242,0.008450031280517578,0.009427070617675781,1.0,0.0,-1.0401222705841064,-0.2482498288154602,1.0653088092803955,1.1912978887557983,-1.2663507461547852,0.004883527755737305,0.0019011497497558594,8.0
9,0,9,1752712457.6561828,3.9395742416381836,9,,,,,,100.0,78.1,13.689178466796875,225.82779693603516,0.008451461791992188,0.00942850112915039,1.0,1.0,-0.4521418511867523,-0.2706289291381836,0.8599604368209839,0.8150338530540466,-0.9819378852844238,0.0033919811248779297,0.001255035400390625,9.0
10,0,10,1752712457.6687882,3.9521796703338623,9,,,,,,100.0,78.1,13.68124771118164,225.8277931213379,0.008452892303466797,0.009429931640625,1.0,1.0,-0.4369865655899048,-0.2814359664916992,1.1769565343856812,1.1953001022338867,-1.3246057033538818,0.0021572113037109375,0.002874135971069336,10.0
11,0,11,1752712457.677417,3.960808515548706,9,,,,,,100.0,78.1,13.677162170410156,225.82778930664062,0.008454322814941406,0.00943136215209961,1.0,1.0,-0.42488306760787964,-0.2961743474006653,1.522091031074524,1.5757602453231812,-1.7145355939865112,0.0021820068359375,0.0008137226104736328,11.0
12,0,12,1752712457.6877189,3.9711105823516846,9,,,,,,100.0,78.1,13.67190170288086,225.82778549194336,0.008455753326416016,0.009432792663574219,1.0,1.0,-0.4143630862236023,-0.3155122995376587,1.8935624361038208,1.956432580947876,-2.11112380027771,0.002401113510131836,0.0029180049896240234,12.0
13,0,13,1752712457.6969993,3.980391025543213,9,,,,,,100.0,78.1,13.665172576904297,225.8277816772461,0.008457183837890625,0.009434223175048828,1.0,1.0,-0.4060414731502533,-0.3401665687561035,2.293461561203003,2.3372538089752197,-2.516075372695923,0.0018851757049560547,0.002210378646850586,13.0
